'e0fa6e0;Hugo Lehoux;Mon Jan 30 09:41:13 2017 +1100;Ready'
'2fa8e3f;Hugo Lehoux;Fri Jan 27 17:58:05 2017 +1100;dist'
'b171464;Hugo Lehoux;Fri Jan 27 17:27:10 2017 +1100;Added a few files'
'04238eb;Hugo Lehoux;Fri Jan 27 17:07:23 2017 +1100;Ready for production'
'4938d5a;Hugo Lehoux;Fri Jan 27 15:29:29 2017 +1100;Update modal'
'064fb13;Hugo Lehoux;Fri Jan 27 15:21:18 2017 +1100;Affichage des interventions modifié'
'e0878e1;Hugo Lehoux;Fri Jan 27 15:12:51 2017 +1100;Remplace la fiche action par un appel ajax asynchrone dans une modal'
'f43f5c7;Hugo Lehoux;Fri Jan 27 13:59:50 2017 +1100;Créé une fonction qui nettoie toutes les anciennes actions dans lesquelles se seraient glissées des erreurs'
'7dd5946;Hugo Lehoux;Fri Jan 27 13:14:36 2017 +1100;Correction sur les résumés d'action'
'758e051;Hugo Lehoux;Fri Jan 27 13:10:06 2017 +1100;Ajoute plusieurs types d'irrigation possibles'
'be91832;Hugo Lehoux;Fri Jan 27 13:04:58 2017 +1100;Ajoute un résumé de l'ntervention dans le tableau. Calcul tout seul les volumes d'irrigation en mm.'
'f67ce7e;Hugo Lehoux;Fri Jan 27 10:55:47 2017 +1100;Ajoute un calcul automatique des récoltes cumulées sur un cycle de culture standardisées en kg pour la surface du cycle de culture'
'8240cf5;Hugo Lehoux;Fri Jan 27 09:08:29 2017 +1100;Change les couleurs pour une meilleure accessibilité'
'73574e3;Hugo Lehoux;Fri Jan 27 08:55:14 2017 +1100;Modifie l'UI'
'4192955;Hugo Lehoux;Fri Jan 27 08:38:28 2017 +1100;La suppression d'une parcelle entraîne bien la suppression automatique des interventions associées, des cycles de culture associés, des dépenses associées des utilisations de phytos et d'engrais associées. Le top'
'57a3d9f;Hugo Lehoux;Fri Jan 27 08:25:14 2017 +1100;Modifie l'UI pour afficher ISMO et C/N. Facilite la lecture des valeurs fertilisantes.'
'6ce230b;Hugo Lehoux;Fri Jan 27 08:11:59 2017 +1100;Ajoute un ISMO et un C/N pour les amendemants organiques'
'9665a6a;Hugo Lehoux;Fri Jan 27 07:28:09 2017 +1100;Ajoute la possibilité d'attacher l'url des fds et ft et PPP'
'8f166fb;Hugo Lehoux;Thu Jan 26 17:30:14 2017 +1100;Pas mal de modification d'UI. Manque la possibilité de créer un nouveau phyto qui n'existe pas en France'
'82436cb;Hugo Lehoux;Thu Jan 26 16:31:49 2017 +1100;Modification du comportement du calendrier'
'145f0cc;Hugo Lehoux;Thu Jan 26 16:16:56 2017 +1100;Affiche les unités adaptées sur le graphe. Corrige une erreur sur la requête pour le choix des unités de masse pour les PPP.'
'2d93526;Hugo Lehoux;Thu Jan 26 15:47:09 2017 +1100;Ca y est le local phyto virtuel est de nouveau fonctionnel !'
'662208e;Hugo Lehoux;Thu Jan 26 11:01:54 2017 +1100;Corrige la procédure pour qu'il devine les unités de tous les produts phytos'
'd947cf7;Hugo Lehoux;Thu Jan 26 10:17:04 2017 +1100;Page d'affichage usages ok. Ajoute le formatage des nombre sur les doses.'
'a411dcd;Hugo Lehoux;Thu Jan 26 09:11:29 2017 +1100;Ajoute un moteur de recherche sur les produits phytos et leur composition'
'aae21cd;Hugo Lehoux;Thu Jan 26 08:53:43 2017 +1100;Affiche la composition de tous les produits phytos'
'c5b0d42;Hugo Lehoux;Thu Jan 26 08:42:26 2017 +1100;Ajoute le téléchargement automatique sur la mise à jour des PPP'
'183c8b9;Hugo Lehoux;Thu Jan 26 08:31:19 2017 +1100;Ca y est la procédure fonctionne complètement !'
'c5200cf;Hugo Lehoux;Mon Jan 23 16:57:40 2017 +1100;Rend obsolète le téléchargement automatique de la dernière version de la base de données e-phy'
'5417d78;Hugo Lehoux;Mon Jan 23 16:12:07 2017 +1100;Ajoute une option --override à la procédure pour remplacer toute la base de données des usages'
'676fd71;Hugo Lehoux;Mon Jan 23 15:36:42 2017 +1100;Test de la procédure positif'
'8e08051;Hugo Lehoux;Mon Jan 23 15:28:31 2017 +1100;Modifie le sens de la bidirectionnalié entre usage et ppp'
'55167cd;Hugo Lehoux;Mon Jan 23 15:20:49 2017 +1100;Devine tous les type d'unités à partir d'une chaîne de texte'
'38eb9e8;Hugo Lehoux;Mon Jan 23 14:44:47 2017 +1100;Ajoute la plupart des variables simples dans la procédure de mise à jour des usages.'
'0f421a9;Hugo Lehoux;Mon Jan 23 14:05:39 2017 +1100;Ajoute shortNumber sur specialityUsage'
'd2331f3;Hugo Lehoux;Fri Jan 20 15:27:28 2017 +1100;Résoud le problème d'encodage du fichier csv'
'bda1bfd;Hugo Lehoux;Fri Jan 20 14:43:58 2017 +1100;Ajoute des méthodes pour rendre alternatifs tous les champs sauf Nom du PPP et AMM du PPP'
'b6ff642;Hugo Lehoux;Fri Jan 20 14:14:10 2017 +1100;Ajoute toutes les variables sur la procédure pour modifier le numéro de la colonne correspondante à une variable facilement'
'd50dfa1;Hugo Lehoux;Fri Jan 20 13:37:33 2017 +1100;Devine le type d'unité automatiquement et met à jour les champs si besoin'
'fd5c61d;Hugo Lehoux;Fri Jan 20 13:33:14 2017 +1100;La procédure est capable de mettre à jour les différentes informations d'un pesticide déjà dans la base. Problème sur le guessing de la catégorie d'unité'
'8292854;Hugo Lehoux;Fri Jan 20 13:02:08 2017 +1100;Modifie la structure de l'objet produit phytosanitaire pour ajouter plusieurs variables'
'2ccd484;Hugo Lehoux;Fri Jan 20 09:05:37 2017 +1100;Ajoute un paramètre path à la commande pour choisir le fichier d'entrée, ajoute une barrde de progression, un calcul des élements ajoutés et dismissed du fichier'
'81c0c50;Hugo Lehoux;Thu Jan 19 16:47:47 2017 +1100;Résoud le problème lié à la longueur des champs.'
'8284fea;Hugo Lehoux;Thu Jan 19 16:11:37 2017 +1100;La commande d'importation fonctionne !!'
'50b0134;Hugo Lehoux;Thu Jan 19 13:48:47 2017 +1100;Problème de limite de mémoire Doctrine résolu'
'a2342ca;Hugo Lehoux;Thu Jan 19 13:12:21 2017 +1100;Préparation procédure autoatisation maj bdd phytos'
'3b03030;Hugo Lehoux;Thu Jan 19 10:47:13 2017 +1100;Ajoute l'index des phytos de l'exploitation, crée une page pur montrer l'historique des mouvements de stock'
'c5cd5de;Hugo Lehoux;Tue Jan 17 14:24:26 2017 +1100;Correction de l'affichage de la composition des engrais'
'e9691f2;Hugo Lehoux;Tue Jan 17 14:06:51 2017 +1100;Retire le gros bouton rouge du calendrier'
'9e0ef97;Hugo Lehoux;Tue Jan 17 13:42:54 2017 +1100;Ajoute l'affichage du détail d'une opération depuis le calendrier'
'cc830bc;Hugo Lehoux;Tue Jan 17 11:12:41 2017 +1100;Affiche une fenêtre modal en cliquant sur une intervention'
'40afb67;Hugo Lehoux;Tue Jan 17 10:59:38 2017 +1100;Ajoute un id sur les actions du calendrer dans l'objectif d'afficher le contenu d'une intervention directement depuis le calendrier via une requête Ajax'
'e414336;Hugo Lehoux;Tue Jan 17 10:42:27 2017 +1100;Ne permet d'ajouter des actions sur le calendrier que pour les cycles de culture actifs'
'83f12e3;Hugo Lehoux;Tue Jan 17 10:32:40 2017 +1100;N'afiche plus que les cycles de culture de l'exploitation en cours'
'b96c477;Hugo Lehoux;Tue Jan 17 10:19:32 2017 +1100;Affichage est terminé sur ajout d'intervention depuis calendrier'
'2154507;Hugo Lehoux;Fri Jan 13 14:35:37 2017 +1100;Détermine seul heure de début et de fin à partir du dessin sur le calendrier. Résoud le problème select2 multiple times'
'd8556e7;Hugo Lehoux;Fri Jan 13 14:09:06 2017 +1100;Beaucoup de modifications pour permettre la création d'intervention depuis le calendrier. Problème de select2 résolu.'
'3d66763;Hugo Lehoux;Fri Jan 13 10:47:30 2017 +1100;Affiche la vue Mon planning par défaut. Se cale sur la date du jour. Affiche tous les évènements sur le calendrier avec un nouveau format d'affichage.'
'571ed0c;Hugo Lehoux;Thu Jan 12 15:39:55 2017 +1100;Nouveau calendrier. Ajoute une vue Mon Planning'
'2c9c760;Hugo Lehoux;Thu Jan 12 13:07:00 2017 +1100;Affiche le graphe d'évolution du prix de l'engrais quand on clique dessus'
'71914a4;Hugo Lehoux;Thu Jan 12 12:49:06 2017 +1100;Affiche la mention autorisé en bo et permet le téléchargement direct FT et FDS'
'5b4ee37;Hugo Lehoux;Thu Jan 12 12:29:29 2017 +1100;Liste des engrais et ajout nouvel engrais terminé'
'9d4b3cc;Hugo Lehoux;Thu Jan 12 12:10:46 2017 +1100;Ajoute un attribue Url Fiche technique et Url FDS sur les engrais ainsi qu'un attribut autorisé en bio'
'a7ca8b3;Hugo Lehoux;Thu Jan 12 11:56:08 2017 +1100;Ajoute deux nouveaux menus fiches techniques et mes conseillers. Ajoute la liste de tous les engrais.'
'881b89c;Hugo Lehoux;Wed Jan 11 15:35:52 2017 +1100;Simplifie le graphe'
'8999494;Hugo Lehoux;Wed Jan 11 14:59:51 2017 +1100;Modifie tout le texte en Français sur le graphe engrais et ajoute un lien rapide'
'e475018;Hugo Lehoux;Wed Jan 11 14:31:03 2017 +1100;Modifie le texte des exports en Français'
'beb151f;Hugo Lehoux;Wed Jan 11 14:15:59 2017 +1100;Modifie l'apparence des graphes sur engrais'
'd16d2f6;Hugo Lehoux;Wed Jan 11 11:45:50 2017 +1100;Disable les engrais déjà en stock lors de l'ajout d'un engrais dans le stock'
'3fd70ed;Hugo Lehoux;Wed Jan 11 11:25:00 2017 +1100;Modifie les textes de LeafletMeasure en français'
'2cb34ec;Hugo Lehoux;Wed Jan 11 11:21:00 2017 +1100;Ajoute un outil de mesure sur la carte pour mesurer la taille des parcelles'
'd69d138;Hugo Lehoux;Tue Jan 10 14:34:03 2017 +1100;UI stuff'
'4798474;Hugo Lehoux;Tue Jan 10 13:59:37 2017 +1100;Uniqueness of updatePrice set to false'
'24a22b6;Hugo Lehoux;Tue Jan 10 12:40:59 2017 +1100;Ajoute un graphe des prix des engrais au dockdes engrais pour toutes les provinces'
'ddaf0e5;Hugo Lehoux;Tue Jan 10 11:11:03 2017 +1100;Modifie les formulaires et templates pour permettre la mise à jour des prix des engrais. Encore du travail sur l'UI.'
'6ce048f;Hugo Lehoux;Tue Jan 10 10:38:29 2017 +1100;Créé les entités nécessaires pour avoir un suivi des prix des engrais et amendements'
'81de655;Hugo Lehoux;Tue Jan 10 10:08:48 2017 +1100;Empty commit'
'11fb4ef;Hugo Lehoux;Tue Jan 10 09:58:51 2017 +1100;Ajoute la possibilité de supprimer un engrais du stock'
'46598fa;Hugo Lehoux;Tue Jan 10 09:36:49 2017 +1100;Ajoute l'affichage de toutes les valeurs fertilisantes dans un tableau exportable'
'8d198ee;Hugo Lehoux;Tue Jan 10 09:21:39 2017 +1100;Modifie le formulaire pour ne proposer que l'unité Litres pour les engrais liquide et Kilogrammes pour les engrais solides'
'1569296;Hugo Lehoux;Tue Jan 10 09:11:10 2017 +1100;Ajoute une nouvelle version pour la mise à jour des stock et l'achat d'engrais.'
'7edf81c;Hugo Lehoux;Mon Jan 9 15:42:10 2017 +1100;Ajoute l'affichage de tous les mouvements de stock d'un engrais dans un tableau exportable'
'dbed8ba;Hugo Lehoux;Mon Jan 9 14:11:35 2017 +1100;Ajoute la liste des produits phytosanitaires et leurs niveaux de stock dans un tableau exportable'
'eb62508;Hugo Lehoux;Mon Jan 9 13:49:45 2017 +1100;Ajoute édition d'outil et corrige une petite erreur d'affichage dans implement_show'
'f3c3e0c;Hugo Lehoux;Mon Jan 9 13:34:45 2017 +1100;Ajoute une liste des outils, possibilité de supprimer avex reuête AJAX, show_implement montre également la liste des interventions associées à l'outil sélectionné'